Common name,Scientific name,Expansion,Color,PowerCategory,Power text,Predator,Flocking,Bonus card,Victory points,Nest type,Egg capacity,Wingspan,Forest,Grassland,Wetland,Invertebrate,Seed,Fish,Fruit,Rodent,Nectar,Wild (food),/ (food cost),* (food cost),Total food cost,Anatomist,Cartographer,Historian,Photographer,Backyard Birder,Bird Bander,Bird Counter,Bird Feeder,Diet Specialist,Enclosure Builder,Falconer,Fishery Manager,Food Web Expert,Forester,Large Bird Specialist,Nest Box Builder,Omnivore Expert,Passerine Specialist,Platform Builder,Prairie Manager,Rodentologist,Viticulturalist,Wetland Scientist,Wildlife Gardener,Caprimulgiform Specialist,Small Clutch Specialist,Endangered Species Protector,Beak Pointing Left,Beak Pointing Right,Note,id,additionalRulings/0/text,additionalRulings/0/source,additionalRulings/1/text,additionalRulings/1/source,rulings/0/text,rulings/0/source,additionalRulings/2/text,additionalRulings/2/source,additionalRulings/3/text,additionalRulings/3/source,additionalRulings/4/text,additionalRulings/4/source,rulings/1/text,rulings/1/source,rulings/2/text,rulings/2/source,additionalRulings/5/text,additionalRulings/5/source,additionalRulings/6/text,additionalRulings/6/source,rulings/3/text,rulings/3/source
Barrow's Goldeneye,Bucephala islandica,originalcore,Pink,Egg-laying,"When another player takes the ""lay eggs"" action, this bird lays 1 [egg] on another bird with a [cavity] nest.",,,,5,Cavity,4,71,,,X,1,1,1,,,,,,,3,X,,X,X,,,,X,X,,,X,,,X,X,,,,,,,X,,,,,X,,"These birds are all nest parasites in the wild: they lay eggs in other birds’ nests. Cowbirds don’t even build their own nests. <br>When another player uses the [grassland] action to lay eggs, you may lay 1 egg. You may do this only once between your turns, no matter how many other players lay eggs. The cowbird can lay eggs on star nests.",25,You may use a pink power during another player's turn after your last turn of the game.,https://www.boardgamegeek.com/thread/2145421/article/31177235#31177235,"You may activate each <i>""once between turns""</i> power on a bird on your player mat once between each of your turns.",https://www.facebook.com/groups/wingspanboardgame/permalink/312352352801707/?comment_id=312354036134872&reply_comment_id=312437246126551,"This bird counts toward the <strong applink=""/card/1023"">Photographer</strong> bonus card.",https://www.boardgamegeek.com/thread/2246435/article/32571727#32571727,You may not use a pink power during your turn (when an opponent performs an action that would otherwise enable using such a power).,https://www.facebook.com/groups/wingspanboardgame/permalink/499161054120835/?comment_id=499167897453484,"If a pink power is triggered by a player using the <i>""gain food""</i>, <i>""lay eggs""</i>, or <i>""draw bird cards""</i> action, the pink power is resolved after the player collects the resources indicated on the player mat but before any brown powers in the corresponding row are activated. If a pink power is triggered by another bird's power, the pink power is resolved after the other bird's power has been resolved.",https://www.boardgamegeek.com/thread/2397920/article/34412077#34412077,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,You may not use this bird's power to lay an [egg] on another player's bird.,https://www.boardgamegeek.com/thread/2146296/article/33747572#33747572,,,,,,,,
Baya Weaver,Ploceus philippinus,asia,Brown,,"Tuck up to 3 [card] from your hand behind this bird. If you tuck at least 1 [card], lay 1 [egg] on this bird.",,X,,3,Wild,3,27,,X,X,1,2,,,,,,,,3,,,,,X,X,X,X,X,X,,,,,,X,,X,X,,,,,X,,,,,X,,361,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Bearded Reedling,Panurus biarmicus,asia,Teal,,"For each other bird in this column with an egg on it, lay 1 [egg] on this bird.",,,,2,Bowl,6,17,,,X,1,1,,,,,,,,2,,,,,X,,,X,,,,,,,,,,X,,,,,X,X,,,,,,,362,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Bell's Vireo,Vireo bellii,originalcore,White,Other,Draw 2 new bonus cards and keep 1.,,,X,4,Wild,2,18,X,X,,2,,,,,,,,,2,,,X,,,X,,,,X,,,X,,,X,,X,X,,,,,X,,X,X,,X,"Draw two goal cards, pick the one you want to keep, and discard the other. If the deck of goal cards is ever exhausted, shuffle the discards to form a new face-down deck. <br>The birds with this power are all threatened or endangered, or conservationists are concerned that they soon will be because of a declining trend in their population.",26,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Belted Kingfisher,Megaceryle alcyon,originalcore,Pink,Food from Supply,"When another player plays a [wetland] bird, gain 1 [fish] from the supply.",,,,4,Wild,4,53,,,X,,,1,,,,1,,,2,,,,,,,,,,X,,X,,,,X,X,,X,,,,X,X,,,,X,,Activate these powers when a player uses the “Play a bird” action to play a bird into the specific habitat. A bird that uses its power to move into the habitat does not trigger this power.,27,"If information printed on a card conflicts with the card's appendix entry, the information on the card takes precedence. (See <strong applink=""/card/9"">American Oystercatcher</strong>, <strong applink=""/card/27"">Belted Kingfisher</strong>, and <strong applink=""/card/104"">Eastern Kingbird</strong>.)",https://www.facebook.com/groups/wingspanboardgame/?post_id=592581981445408&comment_id=592771208093152,You may use a pink power during another player's turn after your last turn of the game.,https://www.boardgamegeek.com/thread/2145421/article/31177235#31177235,"This bird's power is triggered by another player playing a bird in their [wetland] during their turn, even when not using the <i>""play a bird""</i> card action to do so (instead using, e.g., the <strong applink=""/card/88"">Common Moorhen</strong>'s power), despite this bird's entry in the Appendix.",https://www.facebook.com/groups/wingspanboardgame/?post_id=592581981445408&comment_id=592771208093152,"You may activate each <i>""once between turns""</i> power on a bird on your player mat once between each of your turns.",https://www.facebook.com/groups/wingspanboardgame/permalink/312352352801707/?comment_id=312354036134872&reply_comment_id=312437246126551,You may not use a pink power during your turn (when an opponent performs an action that would otherwise enable using such a power).,https://www.facebook.com/groups/wingspanboardgame/permalink/499161054120835/?comment_id=499167897453484,"If a pink power is triggered by a player using the <i>""gain food""</i>, <i>""lay eggs""</i>, or <i>""draw bird cards""</i> action, the pink power is resolved after the player collects the resources indicated on the player mat but before any brown powers in the corresponding row are activated. If a pink power is triggered by another bird's power, the pink power is resolved after the other bird's power has been resolved.",https://www.boardgamegeek.com/thread/2397920/article/34412077#34412077,,,,,You may only reroll dice when gaining food from the birdfeeder and not when gaining food from the supply.,https://www.boardgamegeek.com/thread/2208584/article/32288825#32288825,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,
Bewick's Wren,Thryomanes bewickii,originalcore,Brown,Other,"If this bird is to the right of all other birds in its habitat, move it to another habitat.",,,,4,Cavity,3,18,X,X,X,2,1,,,,,,,,3,,,X,,,X,,X,X,,,,,,,X,,X,,,,,,,,,,,X,"These birds are all able to live in a variety of habitats, and their power is to move from habitat to habitat—but only if they’re the last bird in that row. (They can be in any column.) This can be powerful for increasing your abilities in multiple habitats, and for scoring on end-of-round goals. Be careful not to play another bird to the right of one of these cards, or you won’t be able to use its power!",28,,,,,"When using this bird's power to move this bird to another habitat, the action cube does not change habitats with it.",https://www.stonemaiergames.com/games/wingspan/rules/,,,,,,,,,,,,,,,,
Black Drongo,Dicrurus macrocercus,asia,Brown,,"Discard any number of [card] from the tray, then refill it. If at least 1 of the discarded birds is a [grassland] bird, lay 1 [egg] on this bird.",,,,3,Bowl,3,27,,X,,1,,,,,,1,,,2,,,,X,X,,,,,,,,,,,,,X,,X,,,,X,,,,X,,"The discarded bird can have other habitat icons, but it must also have a grassland habitat to qualify for this power.",363,"<i>""Discarding""</i> food while resolving a bird power counts as <i>""spending""</i>.",https://www.discord.com/channels/608588053052653580/693358238439047229/778341560205967380,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,
Black Noddy,Anous minutus,oceania,Brown,Other,"Reset the birdfeeder and gain all [fish], if there are any. You may discard any of these [fish] to tuck that many [card] from the deck behind this bird instead.",,X,,9,Platform,1,69,,,X,,,3,,,,,,,3,,,,X,,,X,,X,,,X,,,X,,,,X,,,,X,,,X,,X,,"Remove the dice from the birdfeeder when you gain the food, as you would normally.",273,"<i>""Discarding""</i> food while resolving a bird power counts as <i>""spending""</i>.",https://www.discord.com/channels/608588053052653580/693358238439047229/778341560205967380,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,
Black Redstart,Phoenicurus ochruros,european,Teal,Egg-laying,Choose a habitat with no [egg]. Lay 1 [egg] on each bird in that habitat.,,,,0,Wild,4,24,,X,,1,1,,1,,,,,,3,,,,X,X,,,X,X,X,,,,,,X,,X,X,X,,X,,X,,,,,X,,29,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,"This bird does not count toward the <strong applink=""/card/1000"">Anatomist</strong> bonus card.",https://www.facebook.com/groups/wingspanboardgame/permalink/453193798717561/?comment_id=453409608695980&reply_comment_id=455637778473163,,,,,,,,,,,,,,,,
Black Skimmer,Rynchops niger,originalcore,Brown,Hunting/Fishing,"Roll all dice not in birdfeeder. If any are [fish], gain 1 [fish] and cache it on this card.",X,,,6,Ground,2,112,,,X,,,2,,,,,,,2,,,,X,,,,,,X,X,X,,,X,,,,,,,,X,,,X,,X,,"Birds that eat rodents or fish roll all dice that are not in the birdfeeder. (Note that you will never roll more than 4 dice, because when all 5 dice are out of the birdfeeder it must reset immediately.) Roll dice on the table; they do not go back into the birdfeeder. If one or more dice show the specified type, take at most 1 token of that type from the supply and cache it on your card (see “Caching food”). Each token on a bird card is worth 1 point at the end of the game.",30,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Black Stork,Ciconia nigra,asia,Teal,,Lay 1 [egg] on each of the birds immediately to the left and right of this bird.,,,,3,Platform,2,155,X,,X,,,1,,1,,,,,2,,,,X,X,X,,,,,,X,,,X,,,,X,,X,,,,,X,,X,,,364,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Black Swan,Cygnus atratus,oceania,Yellow,Other,"Lay 1 [egg] on each of your birds with a wingspan over 100cm, including this one.",,,,6,Ground,3,180,,,X,,1,,,,,2,,,3,,,,X,,,,X,X,X,,,,,X,,X,,,,,,X,,,,,,X,"Flightless birds count as wild for wingspan requirements, so eggs may be laid on them for each of these bird abilities, even though they are contradictory.<br><br>Eggs are laid after scoring the round-end goal for Round 4.",274,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Black Tern,Chlidonias niger,originalcore,Brown,Card-drawing,"Draw 1 [card]. If you do, discard 1 [card] from your hand at the end of your turn.",,,,4,Wild,2,61,,,X,1,,1,,,,,X,,1,,,,X,,,,,,X,,X,,,,X,,,X,,,,X,X,,X,,,X,"This power adds cards to the wetland’s draw card(s) action, but it has a cost. The next player may start their turn while you are deciding which card(s) to discard.",31,"You may perform an action even if it precludes you from performing an action required at the end of your turn (e.g., discarding a [card] from your hand at the end of a turn in which you activated the <strong applink=""/card/31"">Black Tern</strong>'s power).",https://www.facebook.com/groups/wingspanboardgame/permalink/397335327636742/?comment_id=397350010968607,"If you perform more than one action <i>""at the end of your turn""</i>, you may perform those actions in any order.",https://www.facebook.com/groups/wingspanboardgame/permalink/414814145888860/?comment_id=415023839201224&reply_comment_id=415302489173359,,,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,
Black Vulture,Coragyps atratus,originalcore,Pink,Food from Birdfeeder,"When another player's predator succeeds, gain 1 [die] from the birdfeeder.",,,,2,Cavity,1,150,X,,,,,,,,,,,,0,,,,X,X,,,,,,,,,X,X,X,,,,,,,,,,X,,,X,"If multiple players trigger this power at the same time, they gain food in turn order, starting to the left of the active player (the one whose predator succeeded).",32,You may use a pink power during another player's turn after your last turn of the game.,https://www.boardgamegeek.com/thread/2145421/article/31177235#31177235,"You may activate each <i>""once between turns""</i> power on a bird on your player mat once between each of your turns.",https://www.facebook.com/groups/wingspanboardgame/permalink/312352352801707/?comment_id=312354036134872&reply_comment_id=312437246126551,,,You may not use a pink power during your turn (when an opponent performs an action that would otherwise enable using such a power).,https://www.facebook.com/groups/wingspanboardgame/permalink/499161054120835/?comment_id=499167897453484,"If a pink power is triggered by a player using the <i>""gain food""</i>, <i>""lay eggs""</i>, or <i>""draw bird cards""</i> action, the pink power is resolved after the player collects the resources indicated on the player mat but before any brown powers in the corresponding row are activated. If a pink power is triggered by another bird's power, the pink power is resolved after the other bird's power has been resolved.",https://www.boardgamegeek.com/thread/2397920/article/34412077#34412077,Regular reroll rules apply whenever you have the opportunity to gain food from the birdfeeder.,https://www.stonemaiergames.com/games/wingspan/rules/,,,,,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,
Black Woodpecker,Dryocopus martius,european,Brown,Food-related,Gain all [invertebrate] that are in the birdfeeder.,,,,4,Cavity,2,70,X,,,2,,,1,,,,,,3,,,,X,,,,,X,,,,,X,X,X,,,,,,X,,,,X,,,X,"If there is only one die face showing at the beginning of this action, you may reset the birdfeeder and then take all the invertebrates. <br>This action is completed once you have gained all of this type of food that are showing. If the birdfeeder becomes empty and resets as a result of this action, you do not gain additional food after the reset. If there is only one die face showing after taking all the invertebrates, you may not reset the birdfeeder to look for more.",33,Regular reroll rules apply whenever you have the opportunity to gain food from the birdfeeder.,https://www.stonemaiergames.com/games/wingspan/rules/,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,
Black-Bellied Whistling Duck,Dendrocygna autumnalis,originalcore,Brown,Flocking,Discard 1 [seed] to tuck 2 [card] from the deck behind this bird.,,X,,2,Cavity,5,76,,,X,,2,,,,,,,,2,X,,,X,X,,X,X,,,,,,,X,X,,,,,,,X,,,,,,X,These powers allow you to discard a specific type of food to take 2 cards from the deck and tuck them behind the bird. You must have the food in your personal supply; you cannot take it from a bird card.,34,"<i>""Discarding""</i> food while resolving a bird power counts as <i>""spending""</i>.",https://www.discord.com/channels/608588053052653580/693358238439047229/778341560205967380,,,,,,,,,,,,,,,,,,,,
Black-Billed Magpie,Pica hudsonia,originalcore,Pink,Food from Birdfeeder,"When another player's predator succeeds, gain 1 [die] from the birdfeeder.",,,,3,Wild,3,64,,X,,,,,,,,2,,,2,X,,,X,X,,,,,X,,,,,,X,X,,X,X,,,,X,,,,,X,"If multiple players trigger this power at the same time, they gain food in turn order, starting to the left of the active player (the one whose predator succeeded).",35,You may use a pink power during another player's turn after your last turn of the game.,https://www.boardgamegeek.com/thread/2145421/article/31177235#31177235,"You may activate each <i>""once between turns""</i> power on a bird on your player mat once between each of your turns.",https://www.facebook.com/groups/wingspanboardgame/permalink/312352352801707/?comment_id=312354036134872&reply_comment_id=312437246126551,,,You may not use a pink power during your turn (when an opponent performs an action that would otherwise enable using such a power).,https://www.facebook.com/groups/wingspanboardgame/permalink/499161054120835/?comment_id=499167897453484,"If a pink power is triggered by a player using the <i>""gain food""</i>, <i>""lay eggs""</i>, or <i>""draw bird cards""</i> action, the pink power is resolved after the player collects the resources indicated on the player mat but before any brown powers in the corresponding row are activated. If a pink power is triggered by another bird's power, the pink power is resolved after the other bird's power has been resolved.",https://www.boardgamegeek.com/thread/2397920/article/34412077#34412077,Regular reroll rules apply whenever you have the opportunity to gain food from the birdfeeder.,https://www.stonemaiergames.com/games/wingspan/rules/,,,,,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,
